id,auction_date,target_species,avg_price,min_price,max_price,trade_quantity,standard,origin_name,market_name,year,month,day,day_of_week,date,avg_temp,avg_wind,max_temp,min_temp,precipitation,date_ocean,s_temp
791,2021-10-06,(활)농어,13090.00,3000.00,38000.00,435.60,중,,노량진수산시장,2021,10,6,2,2021-10-06,21.3,2.02,24.94,18.759999999999998,3.2,,
686,2021-10-06,(활)참돔,21320.00,3500.00,45000.00,685.00,중,,노량진수산시장,2021,10,6,2,2021-10-06,21.3,2.02,24.94,18.759999999999998,3.2,,
581,2021-10-06,(활)넙치,20750.00,500.00,48000.00,10523.50,중,,노량진수산시장,2021,10,6,2,2021-10-06,21.3,2.02,24.94,18.759999999999998,3.2,,
976,2021-09-29,(활)우럭,13600.00,6000.00,23000.00,1929.00,중,,노량진수산시장,2021,9,29,2,2021-09-29,21.48,2.6399999999999997,25.580000000000002,18.2,27.7,,
871,2021-09-29,(활)참숭어,3100.00,1000.00,7500.00,784.20,중,,노량진수산시장,2021,9,29,2,2021-09-29,21.48,2.6399999999999997,25.580000000000002,18.2,27.7,,
790,2021-09-29,(활)농어,19054.55,2000.00,69600.00,1140.50,중,,노량진수산시장,2021,9,29,2,2021-09-29,21.48,2.6399999999999997,25.580000000000002,18.2,27.7,,
685,2021-09-29,(활)참돔,12888.89,3000.00,48000.00,1288.50,중,,노량진수산시장,2021,9,29,2,2021-09-29,21.48,2.6399999999999997,25.580000000000002,18.2,27.7,,
580,2021-09-29,(활)넙치,18415.38,300.00,48000.00,9649.70,중,,노량진수산시장,2021,9,29,2,2021-09-29,21.48,2.6399999999999997,25.580000000000002,18.2,27.7,,
975,2021-09-22,(활)우럭,18850.00,400.00,23000.00,713.80,중,,노량진수산시장,2021,9,22,2,2021-09-22,22.32,2.82,26.639999999999997,18.880000000000003,,,
870,2021-09-22,(활)참숭어,7950.00,2000.00,13000.00,576.40,중,,노량진수산시장,2021,9,22,2,2021-09-22,22.32,2.82,26.639999999999997,18.880000000000003,,,
789,2021-09-22,(활)농어,20900.00,3000.00,35000.00,407.70,중,,노량진수산시장,2021,9,22,2,2021-09-22,22.32,2.82,26.639999999999997,18.880000000000003,,,
684,2021-09-22,(활)참돔,41200.00,200.00,356800.00,1597.60,중,,노량진수산시장,2021,9,22,2,2021-09-22,22.32,2.82,26.639999999999997,18.880000000000003,,,
579,2021-09-22,(활)넙치,21854.55,1000.00,47000.00,10201.90,중,,노량진수산시장,2021,9,22,2,2021-09-22,22.32,2.82,26.639999999999997,18.880000000000003,,,
974,2021-09-15,(활)우럭,17600.00,6500.00,25000.00,2157.80,중,,노량진수산시장,2021,9,15,2,2021-09-15,22.619999999999997,3.02,25.34,20.080000000000002,1.15,,
869,2021-09-15,(활)참숭어,7800.00,4000.00,9500.00,267.50,중,,노량진수산시장,2021,9,15,2,2021-09-15,22.619999999999997,3.02,25.34,20.080000000000002,1.15,,
788,2021-09-15,(활)농어,21920.00,7000.00,38000.00,708.70,중,,노량진수산시장,2021,9,15,2,2021-09-15,22.619999999999997,3.02,25.34,20.080000000000002,1.15,,
683,2021-09-15,(활)참돔,42850.00,2000.00,288000.00,2324.00,중,,노량진수산시장,2021,9,15,2,2021-09-15,22.619999999999997,3.02,25.34,20.080000000000002,1.15,,
578,2021-09-15,(활)넙치,14787.50,200.00,50000.00,10931.30,중,,노량진수산시장,2021,9,15,2,2021-09-15,22.619999999999997,3.02,25.34,20.080000000000002,1.15,,
973,2021-09-08,(활)우럭,19600.00,2500.00,27000.00,1913.40,중,,노량진수산시장,2021,9,8,2,2021-09-08,23.66,1.7399999999999998,27.639999999999997,19.86,0.0,,
787,2021-09-08,(활)농어,14940.00,200.00,35000.00,650.70,중,,노량진수산시장,2021,9,8,2,2021-09-08,23.66,1.7399999999999998,27.639999999999997,19.86,0.0,,
682,2021-09-08,(활)참돔,18450.00,100.00,40000.00,1030.50,중,,노량진수산시장,2021,9,8,2,2021-09-08,23.66,1.7399999999999998,27.639999999999997,19.86,0.0,,
577,2021-09-08,(활)넙치,22075.00,1000.00,41000.00,7913.30,중,,노량진수산시장,2021,9,8,2,2021-09-08,23.66,1.7399999999999998,27.639999999999997,19.86,0.0,,
972,2021-09-01,(활)우럭,13780.00,3000.00,25000.00,1751.50,중,,노량진수산시장,2021,9,1,2,2021-09-01,22.34,2.32,24.7,20.48,2.35,,
868,2021-09-01,(활)참숭어,5700.00,1000.00,8000.00,211.70,중,,노량진수산시장,2021,9,1,2,2021-09-01,22.34,2.32,24.7,20.48,2.35,,
786,2021-09-01,(활)농어,16960.00,5000.00,28000.00,615.30,중,,노량진수산시장,2021,9,1,2,2021-09-01,22.34,2.32,24.7,20.48,2.35,,
681,2021-09-01,(활)참돔,9950.00,2000.00,26000.00,1620.20,중,,노량진수산시장,2021,9,1,2,2021-09-01,22.34,2.32,24.7,20.48,2.35,,
576,2021-09-01,(활)넙치,16881.82,600.00,40000.00,7917.30,중,,노량진수산시장,2021,9,1,2,2021-09-01,22.34,2.32,24.7,20.48,2.35,,
971,2021-08-25,(활)우럭,9900.00,3000.00,17000.00,2607.00,중,,노량진수산시장,2021,8,25,2,2021-08-25,26.1,2.38,29.919999999999998,23.080000000000002,1.3333333333333333,,
867,2021-08-25,(활)참숭어,9700.00,9000.00,10000.00,36.20,중,,노량진수산시장,2021,8,25,2,2021-08-25,26.1,2.38,29.919999999999998,23.080000000000002,1.3333333333333333,,
785,2021-08-25,(활)농어,23414.29,100.00,86400.00,390.10,중,,노량진수산시장,2021,8,25,2,2021-08-25,26.1,2.38,29.919999999999998,23.080000000000002,1.3333333333333333,,
680,2021-08-25,(활)참돔,60420.00,1000.00,216500.00,878.50,중,,노량진수산시장,2021,8,25,2,2021-08-25,26.1,2.38,29.919999999999998,23.080000000000002,1.3333333333333333,,
575,2021-08-25,(활)넙치,21000.00,500.00,40000.00,6869.60,중,,노량진수산시장,2021,8,25,2,2021-08-25,26.1,2.38,29.919999999999998,23.080000000000002,1.3333333333333333,,
970,2021-08-18,(활)우럭,8480.00,2000.00,16500.00,1275.40,중,,노량진수산시장,2021,8,18,2,2021-08-18,24.3,2.44,27.639999999999997,21.4,2.75,,
784,2021-08-18,(활)농어,18700.00,1000.00,28000.00,737.50,중,,노량진수산시장,2021,8,18,2,2021-08-18,24.3,2.44,27.639999999999997,21.4,2.75,,
679,2021-08-18,(활)참돔,11712.50,2000.00,35000.00,743.60,중,,노량진수산시장,2021,8,18,2,2021-08-18,24.3,2.44,27.639999999999997,21.4,2.75,,
574,2021-08-18,(활)넙치,15444.44,500.00,35000.00,5472.50,중,,노량진수산시장,2021,8,18,2,2021-08-18,24.3,2.44,27.639999999999997,21.4,2.75,,
969,2021-08-11,(활)우럭,11533.33,6000.00,16000.00,2091.60,중,,노량진수산시장,2021,8,11,2,2021-08-11,26.380000000000003,2.08,29.46,23.619999999999997,0.06666666666666667,,
783,2021-08-11,(활)농어,24066.67,500.00,104000.00,511.30,중,,노량진수산시장,2021,8,11,2,2021-08-11,26.380000000000003,2.08,29.46,23.619999999999997,0.06666666666666667,,
678,2021-08-11,(활)참돔,51000.00,3000.00,331500.00,928.70,중,,노량진수산시장,2021,8,11,2,2021-08-11,26.380000000000003,2.08,29.46,23.619999999999997,0.06666666666666667,,
573,2021-08-11,(활)넙치,19320.00,500.00,33000.00,6958.80,중,,노량진수산시장,2021,8,11,2,2021-08-11,26.380000000000003,2.08,29.46,23.619999999999997,0.06666666666666667,,
